Name & Dim & {NNZ}$ & $\frac{N_{NNZ}}{N_{rows}}$ & $\beta(1,VS)$ & $\beta(2,VS)$ & $\beta(4,VS)$ & $\beta(8,VS)$  \\
\hline \hline
bundle & 513351 & 20208051 & 39.365 & 72\% $|$ 55\%  & 70\% $|$ 54\%  & 64\% $|$ 50\%  & 51\% $|$ 46\%  \\
CO & 221119 & 7666057 & 34.6694 & 18\% $|$ 9\%  & 18\% $|$ 9\%  & 17\% $|$ 9\%  & 16\% $|$ 8\%  \\
crankseg & 63838 & 14148858 & 221.637 & 66\% $|$ 49\%  & 59\% $|$ 44\%  & 49\% $|$ 37\%  & 38\% $|$ 29\%  \\
dense & 2048 & 4194304 & 2048 & 100\% $|$ 100\%  & 100\% $|$ 100\%  & 100\% $|$ 100\%  & 100\% $|$ 100\%  \\
dielFilterV2real & 1157456 & 48538952 & 41.9359 & 31\% $|$ 20\%  & 22\% $|$ 14\%  & 15\% $|$ 10\%  & 11\% $|$ 7\%  \\
Emilia & 923136 & 41005206 & 44.4195 & 50\% $|$ 31\%  & 43\% $|$ 28\%  & 34\% $|$ 24\%  & 24\% $|$ 18\%  \\
FullChip & 2987012 & 26621990 & 8.91258 & 24\% $|$ 13\%  & 17\% $|$ 10\%  & 13\% $|$ 7\%  & 8\% $|$ 5\%  \\
Hook & 1498023 & 60917445 & 40.6652 & 51\% $|$ 34\%  & 43\% $|$ 29\%  & 33\% $|$ 23\%  & 24\% $|$ 17\%  \\
in-2004 & 1382908 & 16917053 & 12.233 & 48\% $|$ 31\%  & 38\% $|$ 25\%  & 30\% $|$ 19\%  & 21\% $|$ 14\%  \\
ldoor & 952203 & 46522475 & 48.8577 & 87\% $|$ 55\%  & 79\% $|$ 51\%  & 67\% $|$ 44\%  & 51\% $|$ 34\%  \\
mixtank & 29957 & 1995041 & 66.5968 & 31\% $|$ 20\%  & 24\% $|$ 16\%  & 17\% $|$ 11\%  & 12\% $|$ 8\%  \\
nd6k & 18000 & 6897316 & 383.184 & 80\% $|$ 71\%  & 76\% $|$ 68\%  & 71\% $|$ 64\%  & 64\% $|$ 58\%  \\
ns3Da & 20414 & 1679599 & 82.2768 & 14\% $|$ 7\%  & 8\% $|$ 4\%  & 4\% $|$ 2\%  & 2\% $|$ 1\%  \\
pdb1HYS & 36417 & 4344765 & 119.306 & 77\% $|$ 65\%  & 72\% $|$ 60\%  & 63\% $|$ 54\%  & 54\% $|$ 46\%  \\
pwtk & 217918 & 11634424 & 53.389 & 74\% $|$ 56\%  & 74\% $|$ 55\%  & 73\% $|$ 54\%  & 65\% $|$ 53\%  \\
RM07R & 381689 & 37464962 & 98.1557 & 61\% $|$ 41\%  & 51\% $|$ 34\%  & 40\% $|$ 28\%  & 31\% $|$ 25\%  \\
Serena & 1391349 & 64531701 & 46.3807 & 51\% $|$ 34\%  & 43\% $|$ 29\%  & 33\% $|$ 23\%  & 24\% $|$ 17\%  \\
Si41Ge41H72 & 185639 & 15011265 & 80.8627 & 32\% $|$ 18\%  & 31\% $|$ 17\%  & 28\% $|$ 15\%  & 22\% $|$ 13\%  \\
Si87H76 & 240369 & 10661631 & 44.3553 & 21\% $|$ 11\%  & 21\% $|$ 11\%  & 20\% $|$ 10\%  & 17\% $|$ 9\%  \\
spal & 10203 & 46168124 & 4524.96 & 74\% $|$ 69\%  & 45\% $|$ 37\%  & 25\% $|$ 23\%  & 13\% $|$ 12\%  \\
torso1 & 116158 & 8516500 & 73.3182 & 81\% $|$ 63\%  & 80\% $|$ 62\%  & 77\% $|$ 59\%  & 58\% $|$ 55\%  \\
TSOPF & 38120 & 16171169 & 424.217 & 94\% $|$ 88\%  & 93\% $|$ 87\%  & 92\% $|$ 85\%  & 89\% $|$ 82\%  \\
wikipedia-20060925 & 2983494 & 37269096 & 12.4918 & 13\% $|$ 6\%  & 6\% $|$ 3\%  & 3\% $|$ 1\%  & 1\% $|$ 0\%  \\
