matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
bundle,double,513351,20208051,39.365,no,no,0.383601,1.07861,1.42331,1.50765,1.38721,34.8389,47.0374,51.403,52.8405,5.8276,72.84,11.3237,70.77,20.7249,64.76,32.8884,51.38
bundle,double,513351,20208051,39.365,no,yes,0.383556,1.07808,1.50068,1.79332,1.29629,34.6407,53.4832,67.0836,53.0111,5.8276,72.84,11.3237,70.77,20.7249,64.76,32.8884,51.38
bundle,float,513351,20208051,39.365,no,yes,0.386431,1.33302,1.97727,2.46814,2.1908,42.4463,69.0285,89.3456,77.4043,8.9392,55.87,17.45,54.53,32.4609,50.72,58.888,46.00
bundle,float,513351,20208051,39.365,no,no,0.386411,1.33295,1.80396,1.86179,2.04475,42.3916,58.651,56.6156,69.1508,8.9392,55.87,17.45,54.53,32.4609,50.72,58.888,46.00
bundle,double,513351,20208051,39.365,yes,no,0.383644,1.07837,1.42323,1.50669,1.38636,34.8551,46.6537,51.3723,52.0541,5.8276,72.84,11.3237,70.77,20.7249,64.76,32.8884,51.38
bundle,double,513351,20208051,39.365,yes,yes,0.383652,1.07839,1.50107,1.79355,1.35986,34.6267,53.3781,67.043,53.2155,5.8276,72.84,11.3237,70.77,20.7249,64.76,32.8884,51.38
bundle,float,513351,20208051,39.365,yes,yes,0.386417,1.33246,1.97827,2.4712,2.09062,42.1763,69.0887,88.7856,77.2839,8.9392,55.87,17.45,54.53,32.4609,50.72,58.888,46.00
bundle,float,513351,20208051,39.365,yes,no,0.386382,1.33343,1.80433,1.86226,2.04544,42.43,59.2675,57.1015,69.1076,8.9392,55.87,17.45,54.53,32.4609,50.72,58.888,46.00
CO,double,221119,7666057,34.6694,no,no,0.348719,0.409531,0.529506,0.53135,0.507073,17.5883,23.2883,23.4426,22.765,1.46532,18.31,2.89192,18.07,5.65586,17.67,10.4432,16.31
CO,double,221119,7666057,34.6694,no,yes,0.348697,0.409416,0.543097,0.604848,0.458533,7.19036,23.6428,26.8509,20.773,1.46532,18.31,2.89192,18.07,5.65586,17.67,10.4432,16.31
CO,float,221119,7666057,34.6694,no,yes,0.354417,0.422491,0.571611,0.649789,0.513099,17.4368,24.1864,28.7951,23.2927,1.57681,9.85,3.11534,9.73,6.09944,9.53,11.4373,8.93
CO,float,221119,7666057,34.6694,no,no,0.354453,0.422694,0.565439,0.551248,0.555212,17.4754,24.3142,24.2235,24.9176,1.57681,9.85,3.11534,9.73,6.09944,9.53,11.4373,8.93
CO,double,221119,7666057,34.6694,yes,no,0.348722,0.409561,0.529907,0.531765,0.506893,17.5696,23.2545,23.4608,22.8049,1.46532,18.31,2.89192,18.07,5.65586,17.67,10.4432,16.31
CO,double,221119,7666057,34.6694,yes,yes,0.348644,0.409804,0.543714,0.605473,0.461201,17.4613,23.6573,26.9246,20.7691,1.46532,18.31,2.89192,18.07,5.65586,17.67,10.4432,16.31
CO,float,221119,7666057,34.6694,yes,yes,0.354306,0.422459,0.571626,0.6498,0.534849,17.5177,24.2061,28.5949,23.4666,1.57681,9.85,3.11534,9.73,6.09944,9.53,11.4373,8.93
CO,float,221119,7666057,34.6694,yes,no,0.354467,0.422685,0.565204,0.551366,0.555237,17.5146,24.3589,24.2332,24.782,1.57681,9.85,3.11534,9.73,6.09944,9.53,11.4373,8.93
crankseg,double,63838,14148858,221.637,no,no,0.383642,1.52863,1.76192,1.47728,1.17681,57.5303,68.1206,62.7316,51.9561,5.33808,66.72,9.54685,59.66,15.6876,49.02,24.3268,38.01
crankseg,double,63838,14148858,221.637,no,yes,0.383517,1.52725,1.76613,1.62901,1.04854,57.3318,69.5662,69.7664,46.4943,5.33808,66.72,9.54685,59.66,15.6876,49.02,24.3268,38.01
crankseg,float,63838,14148858,221.637,no,yes,0.387376,2.10583,2.58477,2.49042,1.66603,74.9562,101.562,104.804,73.1005,7.93748,49.60,14.3241,44.76,23.8658,37.29,37.7087,29.45
crankseg,float,63838,14148858,221.637,no,no,0.38737,2.10322,2.60476,2.22993,1.8628,76.5493,102.604,92.8105,81.7404,7.93748,49.60,14.3241,44.76,23.8658,37.29,37.7087,29.45
crankseg,double,63838,14148858,221.637,yes,no,0.383615,1.52752,1.76226,1.47724,1.17686,57.682,67.4605,62.5368,52.2662,5.33808,66.72,9.54685,59.66,15.6876,49.02,24.3268,38.01
crankseg,double,63838,14148858,221.637,yes,yes,0.383573,1.52758,1.76802,1.63068,1.08402,57.607,68.8471,69.7,46.3493,5.33808,66.72,9.54685,59.66,15.6876,49.02,24.3268,38.01
crankseg,float,63838,14148858,221.637,yes,yes,0.387428,2.10396,2.58005,2.4854,1.66578,76.0597,101.906,104.706,73.57,7.93748,49.60,14.3241,44.76,23.8658,37.29,37.7087,29.45
crankseg,float,63838,14148858,221.637,yes,no,0.387373,2.10097,2.59787,2.22567,1.8596,75.9808,101.313,91.6667,80.2034,7.93748,49.60,14.3241,44.76,23.8658,37.29,37.7087,29.45
dense,double,2048,4194304,2048,no,no,0.394319,2.77571,3.33755,3.03463,3.12442,89.2106,103.814,96.9898,93.307,8,100.00,16,100.00,32,100.00,64,100.00
dense,double,2048,4194304,2048,no,yes,0.39417,2.78217,3.40056,3.48721,2.48909,90.9424,105.672,106.815,90.3018,8,100.00,16,100.00,32,100.00,64,100.00
dense,float,2048 2048,4194304 4194304,2048 2048,no,yes,0.396115,5.50939,6.91529,6.51376,6.35554,156.404,187.568,180.617,165.882,16,100.00,32,100.00,64,100.00,128,100.00
dense,float,2048,4194304,2048,no,no,0.396084,5.48181,6.79613,6.40827,6.39169,147.264,173.521,168.824,165.591,16,100.00,32,100.00,64,100.00,128,100.00
dense,double,2048,4194304,2048,yes,no,0.394378,2.7757,3.33587,3.03385,3.12474,90.5644,104.307,97.3239,95.6026,8,100.00,16,100.00,32,100.00,64,100.00
dense,double,2048,4194304,2048,yes,yes,0.394231,2.78158,3.40071,3.48845,2.5084,89.7162,102.854,104.545,89.8778,8,100.00,16,100.00,32,100.00,64,100.00
dense,float,2048,4194304,2048,yes,yes,0.395927,5.5103,6.78269,6.99344,5.67819,158.577,188.429,192.037,160.59,16,100.00,32,100.00,64,100.00,128,100.00
dense,float,2048,4194304,2048,yes,no,0.396071,5.49003,6.79765,6.3936,6.39124,150.167,173.797,167.775,163.914,16,100.00,32,100.00,64,100.00,128,100.00
dielFilterV2real,double,1157456,48538952,41.9359,no,no,0.357042,0.604324,0.628379,0.482911,0.36037,25.0166,25.7656,19.8811,15.1701,2.55459,31.93,3.58155,22.38,5.09563,15.92,7.17196,11.20
dielFilterV2real,double,1157456,48538952,41.9359,no,yes,0.35702,0.604262,0.636893,0.544532,0.320259,25.0436,25.9252,22.1061,13.7239,2.55459,31.93,3.58155,22.38,5.09563,15.92,7.17196,11.20
dielFilterV2real,float,1157456,48538952,41.9359,no,yes,0.361171,0.676686,0.786262,0.729819,0.45876,29.6342,34.2293,31.9689,20.6625,3.26432,20.40,4.74359,14.82,6.98506,10.91,10.1935,7.96
dielFilterV2real,float,1157456,48538952,41.9359,no,no,0.361181,0.676749,0.788223,0.626408,0.505596,29.7094,34.0763,27.6073,22.5918,3.26432,20.40,4.74359,14.82,6.98506,10.91,10.1935,7.96
dielFilterV2real,double,1157456,48538952,41.9359,yes,no,0.35701,0.604293,0.628384,0.482854,0.360356,25.1646,25.8289,20.0547,15.262,2.55459,31.93,3.58155,22.38,5.09563,15.92,7.17196,11.20
dielFilterV2real,double,1157456,48538952,41.9359,yes,yes,0.357005,0.604207,0.636439,0.544181,0.334245,25.0996,25.8798,22.3568,13.6929,2.55459,31.93,3.58155,22.38,5.09563,15.92,7.17196,11.20
dielFilterV2real,float,1157456,48538952,41.9359,yes,yes,0.361176,0.676784,0.785992,0.729241,0.458877,29.6134,20.6323,32.1689,20.5712,3.26432,20.40,4.74359,14.82,6.98506,10.91,10.1935,7.96
dielFilterV2real,float,1157456,48538952,41.9359,yes,no,0.361206,0.676927,0.788121,0.62625,0.505519,29.5245,33.9028,27.6248,22.5845,3.26432,20.40,4.74359,14.82,6.98506,10.91,10.1935,7.96
Emilia,double,923136,41005206,44.4195,no,no,0.359264,0.822102,1.0414,0.931091,0.752347,36.082,43.8324,39.7009,32.8645,4.0514,50.64,6.97117,43.56,10.898,34.05,15.9949,24.99
Emilia,double,923136,41005206,44.4195,no,yes,0.359173,0.822116,1.07171,1.06396,0.682765,36.2429,44.3824,44.4347,29.9846,4.0514,50.64,6.97117,43.56,10.898,34.05,15.9949,24.99
Emilia,float,923136,41005206,44.4195,no,yes,0.362707,0.89802,1.21755,1.44004,0.994807,40.3088,54.099,63.1907,44.7777,4.97073,31.06,9.09644,28.42,15.5441,24.28,23.8118,18.60
Emilia,float,923136,41005206,44.4195,no,no,0.362662,0.897687,1.19243,1.18557,1.05629,40.5058,52.806,53.0941,47.5192,4.97073,31.06,9.09644,28.42,15.5441,24.28,23.8118,18.60
Emilia,double,923136,41005206,44.4195,yes,no,0.359304,0.822363,1.04175,0.932042,0.752822,36.1286,43.5761,39.5639,32.9005,4.0514,50.64,6.97117,43.56,10.898,34.05,15.9949,24.99
Emilia,double,923136,41005206,44.4195,yes,yes,0.359177,0.821739,1.07171,1.06338,0.684056,36.2452,44.6048,44.5144,29.9008,4.0514,50.64,6.97117,43.56,10.898,34.05,15.9949,24.99
Emilia,float,923136,41005206,44.4195,yes,yes,0.362692,0.897862,1.21758,1.43999,0.996511,40.5192,52.7293,63.15,44.8964,4.97073,31.06,9.09644,28.42,15.5441,24.28,23.8118,18.60
Emilia,float,923136,41005206,44.4195,yes,no,0.36268,0.897953,1.19227,1.18555,1.05621,40.4687,53.0775,53.0922,47.7204,4.97073,31.06,9.09644,28.42,15.5441,24.28,23.8118,18.60
FullChip,double,2987012,26621990,8.91258,no,no,0.299367,0.270501,0.318491,0.297427,0.235357,9.23334,9.01182,7.26234,3.79807,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
FullChip,double,2987012,26621990,8.91258,no,yes,0.299515,0.270485,0.33421,0.346716,0.219038,9.24984,10.2024,8.10355,3.16654,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
