matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,MKL,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
bundle,double,513351,20208051,39.365,no,no,1.33522,1.87605,2.42434,2.79602,2.93175,2.79932,42.9314,41.5109,42.6722,45.6768,5.8276,72.84,11.3237,70.77,20.7249,64.76,32.8884,51.38
bundle,float,513351,20208051,39.365,no,no,1.51641,2.30932,4.03994,4.59641,4.95563,4.82506,73.9963,61.3871,71.5372,64.6257,8.9392,55.87,17.45,54.53,32.4609,50.72,58.888,46.00
bundle,double,513351,20208051,39.365,yes,no,1.33299,1.87777,2.43275,2.84275,3.00044,2.8503,36.6223,36.7643,39.1091,37.7689,5.8276,72.84,11.3237,70.77,20.7249,64.76,32.8884,51.38
bundle,float,513351,20208051,39.365,yes,no,1.52679,2.31761,4.04359,4.75937,5.26834,5.06454,72.4845,66.1242,79.7404,73.9512,8.9392,55.87,17.45,54.53,32.4609,50.72,58.888,46.00
CO,double,221119,7666057,34.6694,no,no,1.44112,1.88775,1.2597,1.56409,1.69542,1.59471,23.1631,21.2287,23.0423,21.7373,1.46532,18.31,2.89192,18.07,5.65586,17.67,10.4432,16.31
CO,float,221119,7666057,34.6694,no,no,1.85988,2.2788,1.43904,1.87748,1.84742,1.85132,21.2489,23.8809,24.0104,21.8872,1.57681,9.85,3.11534,9.73,6.09944,9.53,11.4373,8.93
CO,double,221119,7666057,34.6694,yes,no,1.44245,1.88774,1.2565,1.58388,1.71062,1.60874,21.4449,21.0975,24.1855,23.7937,1.46532,18.31,2.89192,18.07,5.65586,17.67,10.4432,16.31
CO,float,221119,7666057,34.6694,yes,no,1.86958,2.2787,1.43986,1.90392,1.88634,1.91769,23.6343,24.3408,25.1726,25.8058,1.57681,9.85,3.11534,9.73,6.09944,9.53,11.4373,8.93
crankseg,double,63838,14148858,221.637,no,no,1.24501,2.01268,2.62064,2.94589,2.91633,2.66104,53.3939,47.6689,46.3317,39.3933,5.33808,66.72,9.54685,59.66,15.6876,49.02,24.3268,38.01
crankseg,float,63838,14148858,221.637,no,no,1.4559,2.70841,4.43682,5.25063,5.06876,4.35851,95.0496,87.0386,84.8498,69.301,7.93748,49.60,14.3241,44.76,23.8658,37.29,37.7087,29.45
crankseg,double,63838,14148858,221.637,yes,no,1.24525,2.01336,2.60962,2.94521,2.94203,2.6663,57.6966,49.2162,47.5743,40.1229,5.33808,66.72,9.54685,59.66,15.6876,49.02,24.3268,38.01
crankseg,float,63838,14148858,221.637,yes,no,1.46016,2.70412,4.43591,5.16044,5.1319,4.46141,75.9189,87.4706,84.138,68.2183,7.93748,49.60,14.3241,44.76,23.8658,37.29,37.7087,29.45
dense,double,2048,4194304,2048,no,no,1.22599,2.34221,3.7017,4.13209,4.19328,4.46116,44.9592,61.9837,81.9935,90.5816,8,100.00,16,100.00,32,100.00,64,100.00
dense,float,2048,4194304,2048,no,no,1.30155,3.67929,9.41655,10.5522,11.0021,11.029,20.6617,37.347,74.9685,112.955,16,100.00,32,100.00,64,100.00,128,100.00
dense,double,2048,4194304,2048,yes,no,1.21919,2.3439,3.68947,4.09389,4.34751,4.43691,44.5716,60.2757,80.6414,86.9525,8,100.00,16,100.00,32,100.00,64,100.00
dense,float,2048,4194304,2048,yes,no,1.30166,3.59365,8.26724,9.45557,11.2039,10.771,19.3956,32.0484,78.6721,112.671,16,100.00,32,100.00,64,100.00,128,100.00
dielFilterV2real,double,1157456,48538952,41.9359,no,no,1.38076,1.80851,1.60964,1.64121,1.48035,1.21583,34.6857,35.5661,35.8146,31.8176,2.55459,31.93,3.58155,22.38,5.09563,15.92,7.17196,11.20
