matrixname,type,scalar,1rVc,1rVc_v2,2rVc,2rVc_v2,4rVc,4rVc_v2
bundle_adj,double,0.393689,2.85856,2.42576,3.41458,2.42236,3.1081,2.79915
bundle_adj,float,0.396039,5.55615,4.89456,6.70441,4.94037,6.17186,5.62767
CO,double,0.393724,2.85871,2.42601,3.41388,2.42164,3.10679,2.79936
CO,float,0.395783,5.53864,4.89756,6.68448,4.94314,6.17356,5.62425
crankseg_2,double,0.393476,2.8578,2.42661,3.41354,2.4224,3.10831,2.79943
crankseg_2,float,0.396121,5.55686,4.89486,6.7031,4.94279,6.15691,5.62378
dense,double,0.393716,2.85822,2.42603,3.4129,2.42148,3.10654,2.79891
dense,float,0.395996,5.50619,4.89308,6.70906,4.94487,6.17272,5.62544
dielFilterV2real,double,0.393756,2.85896,2.42712,3.41446,2.42236,3.10806,2.79914
dielFilterV2real,float,0.395933,5.55194,4.89357,6.70799,4.9417,6.17369,5.62423
Emilia_923,double,0.393422,2.85787,2.42617,3.4134,2.41277,3.09676,2.80029
Emilia_923,float,0.395999,5.55179,4.89268,6.70725,4.94615,6.1717,5.62989
FullChip,double,0.393674,2.85913,2.42694,3.41314,2.4224,3.10707,2.79943
FullChip,float,0.396141,5.55829,4.89222,6.7105,4.94373,6.1718,5.62688
Hook_1498,double,0.393736,2.85862,2.42618,3.41353,2.42135,3.10769,2.7992
Hook_1498,float,0.396035,5.55122,4.89467,6.70608,4.94484,6.17137,5.62436
in-2004,double,0.393647,2.85858,2.4263,3.41314,2.42255,3.10771,2.79931
in-2004,float,0.395814,5.55,4.8974,6.7063,4.94455,6.17146,5.62409
ldoor,double,0.393529,2.855,2.42619,3.4126,2.4209,3.10722,2.79944
ldoor,float,0.396037,5.55341,4.89451,6.70386,4.93795,6.17373,5.62614
mixtank_new,double,0.393737,2.85878,2.42567,3.41236,2.42063,3.10658,2.79874
mixtank_new,float,0.395816,5.55151,4.89636,6.70706,4.94375,6.17265,5.62525
nd6k,double,0.393689,2.85909,2.42639,3.41352,2.42148,3.10672,2.7995
nd6k,float,0.395843,5.5559,4.89549,6.70808,4.94181,6.16964,5.62516
ns3Da,double,0.39374,2.8578,2.42525,3.41369,2.42085,3.10814,2.79921
ns3Da,float,0.396036,5.55406,4.89354,6.70582,4.94215,6.17375,5.62345
pdb1HYS,double,0.393766,2.85918,2.42641,3.4126,2.42074,3.107,2.79936
pdb1HYS,float,0.3959,5.55603,4.89603,6.70775,4.94248,6.17358,5.62587
pwtk,double,0.393761,2.85833,2.42633,3.41181,2.42143,3.10575,2.79885
pwtk,float,0.396031,5.55591,4.89462,6.70743,4.94204,6.17477,5.62698
RM07R,double,0.393656,2.85838,2.42587,3.414,2.42172,3.10749,2.79934
RM07R,float,0.395835,5.55619,4.89529,6.7071,4.9426,6.16772,5.62398
Serena,double,0.393687,2.85805,2.42409,3.41274,2.42161,3.10842,2.79484
Serena,float,0.395801,5.55104,4.89483,6.70564,4.94201,6.17029,5.62856
Si41Ge41H72,double,0.393741,2.85748,2.42528,3.41304,2.42115,3.10079,2.7989
Si41Ge41H72,float,0.395937,5.55342,4.89461,6.70788,4.94149,6.17189,5.62993
Si87H76,double,0.393628,2.85767,2.42531,3.41274,2.42147,3.10797,2.80081
Si87H76,float,0.396111,5.5536,4.89534,6.70763,4.9456,6.17191,5.62288
spal_004,double,0.393767,2.85827,2.42633,3.41306,2.42182,3.09258,2.80024
spal_004,float,0.396058,5.54885,4.89345,6.70841,4.94629,6.1727,5.62742
torso1,double,0.393635,2.85717,2.42512,3.41248,2.42264,3.108,2.7991
torso1,float,0.396012,5.54315,4.89515,6.70739,4.92924,6.17413,5.62902
TSOPF_RS_b2383_c1,double,0.393762,2.85795,2.42648,3.41407,2.42195,3.10772,2.80049
TSOPF_RS_b2383_c1,float,0.395873,5.55966,4.89429,6.70796,4.94134,6.17159,5.62285
wikipedia-20060925,double,0.393746,2.85783,2.42569,3.41311,2.42173,3.10809,2.80009
wikipedia-20060925,float,0.395716,5.54783,4.89276,6.70926,4.94222,6.17412,5.62132
