matrixname,type,scalar,1rVc,2rVc,4rVc,8rVc
bundle_adj,float,0.373162,1.32959,1.7746,1.83643,1.97033
CO,double,0.351443,0.409703,0.552711,0.530386,0.506018
CO,float,0.358243,0.422632,0.565404,0.551284,0.547201
crankseg_2,float,0.387476,2.0968,2.54328,2.18907,1.80738
dense,double,0.394224,2.78232,3.34771,3.08961,3.13276
dense,float,0.396086,5.52362,6.93181,6.52126,6.27231
dielFilterV2real,float,0.362164,0.670746,0.779788,0.620717,0.495046
Emilia_923,double,0.361512,0.822081,1.04929,0.931056,0.752286
Emilia_923,float,0.366318,0.897999,1.19274,1.18571,1.04177
FullChip,float,0.277505,0.270869,0.332493,0.320955,0.280656
Hook_1498,float,0.363326,0.891253,1.21442,1.13413,0.992488
in-2004,double,0.33363,0.456855,0.664,0.596575,0.527907
in-2004,float,0.334559,0.464973,0.628233,0.638289,0.613883
ldoor,float,0.359512,1.3213,1.46994,1.5641,1.46773
mixtank_new,float,0.375625,0.788655,0.916556,0.712856,0.533538
nd6k,float,0.392183,3.21766,4.12068,3.87622,3.58542
ns3Da,double,0.362683,0.288526,0.217479,0.141654,0.0854285
ns3Da,float,0.372314,0.328166,0.260242,0.170143,0.107186
pdb1HYS,double,0.382028,1.57915,2.02548,1.84818,1.64875
pdb1HYS,float,0.384284,2.06035,2.84457,2.78339,2.6271
pwtk,float,0.370931,1.73656,2.12805,2.29417,2.50392
RM07R,double,0.376409,1.2208,1.45463,1.18035,0.942221
RM07R,float,0.380249,1.41258,1.81711,1.60289,1.51249
Serena,double,0.358903,0.811338,1.01645,0.882313,0.711792
Serena,float,0.365242,0.925056,1.24023,1.13847,0.98139
Si41Ge41H72,double,0.37214,0.733764,1.0567,0.841023,0.703633
Si41Ge41H72,float,0.377775,0.796516,1.03948,0.954208,0.854566
Si87H76,double,0.359571,0.488628,0.682238,0.610305,0.54952
Si87H76,float,0.365371,0.505124,0.673595,0.640837,0.610426
spal_004,double,0.361705,1.3108,1.14029,0.707264,0.423948
spal_004,float,0.394517,2.35651,1.79256,1.29811,0.811985
torso1,double,0.405251,1.41557,1.98482,1.89876,1.63562
torso1,float,0.416406,1.92816,2.44676,2.58205,2.74598
TSOPF_RS_b2383_c1,double,0.392003,2.46022,16.9348,2.81396,2.67314
TSOPF_RS_b2383_c1,float,0.394156,4.21345,5.28676,5.05612,4.95038
wikipedia-20060925,float,0.14307,0.104071,0.0867548,0.0602048,0.038389
